Simulation Start:
###########################
------EPOCH: 1---------
###########################
Carnivore: [w: 8.653091, s: 6.522181, p: 6.983629, d: 6.4118004, eval: 1:-672 2:-63 3:-501]
Carnivore: [w: 3.4010754, s: 9.6306, p: 7.9598045, d: 6.658267, eval: 1:127 2:-189 3:281]
Carnivore: [w: 8.827109, s: 1.4147997, p: 7.797506, d: 3.0775774, eval: 1:152 2:-536 3:-745]
epoch: 1 simulation step: 1 -> herbis: 87 carnis: 100
epoch: 1 simulation step: 2 -> herbis: 73 carnis: 100
epoch: 1 simulation step: 3 -> herbis: 65 carnis: 100
epoch: 1 simulation step: 4 -> herbis: 56 carnis: 100
epoch: 1 simulation step: 5 -> herbis: 50 carnis: 100
epoch: 1 simulation step: 6 -> herbis: 42 carnis: 100
epoch: 1 simulation step: 7 -> herbis: 41 carnis: 100
epoch: 1 simulation step: 8 -> herbis: 40 carnis: 100
epoch: 1 simulation step: 9 -> herbis: 39 carnis: 100
epoch: 1 simulation step: 10 -> herbis: 37 carnis: 100
epoch: 1 simulation step: 11 -> herbis: 36 carnis: 100
epoch: 1 simulation step: 12 -> herbis: 35 carnis: 100
epoch: 1 simulation step: 13 -> herbis: 32 carnis: 100
epoch: 1 simulation step: 14 -> herbis: 31 carnis: 100
epoch: 1 simulation step: 15 -> herbis: 31 carnis: 100
epoch: 1 simulation step: 16 -> herbis: 31 carnis: 100
epoch: 1 simulation step: 17 -> herbis: 31 carnis: 100
epoch: 1 simulation step: 18 -> herbis: 31 carnis: 100
epoch: 1 simulation step: 19 -> herbis: 31 carnis: 100
epoch: 1 simulation step: 20 -> herbis: 29 carnis: 100
epoch: 1 simulation step: 21 -> herbis: 29 carnis: 100
epoch: 1 simulation step: 22 -> herbis: 27 carnis: 100
epoch: 1 simulation step: 23 -> herbis: 26 carnis: 100
epoch: 1 simulation step: 24 -> herbis: 25 carnis: 100
epoch: 1 simulation step: 25 -> herbis: 24 carnis: 100
epoch: 1 simulation step: 26 -> herbis: 24 carnis: 100
epoch: 1 simulation step: 27 -> herbis: 24 carnis: 100
epoch: 1 simulation step: 28 -> herbis: 24 carnis: 100
epoch: 1 simulation step: 29 -> herbis: 24 carnis: 100
epoch: 1 simulation step: 30 -> herbis: 24 carnis: 100
surviving genes:
Herbivore: [w: 0.6717886, s: 5.468856, p: 7.8411627, d: 1.0178542, eval: 1:-716 2:-799 3:111]
Herbivore: [w: 3.60001, s: 9.255848, p: 1.5322042, d: 1.0885346, eval: 1:-81 2:-551 3:642]
Carnivore: [w: 7.2639856, s: 9.583993, p: 9.355063, d: 1.2615275, eval: 1:242 2:581 3:334]
Carnivore: [w: 3.3942704, s: 7.712921, p: 4.8607874, d: 8.501543, eval: 1:-836 2:428 3:-115]
Carnivore: [w: 6.9837823, s: 8.344702, p: 0.4790783, d: 6.613326, eval: 1:177 2:-62 3:318]
Carnivore: [w: 7.6503515, s: 3.346299, p: 1.587162, d: 9.18615, eval: 1:-36 2:279 3:857]
Carnivore: [w: 6.3945837, s: 4.7465086, p: 1.2226009, d: 1.3093805, eval: 1:-103 2:289 3:825]
Carnivore: [w: 7.724575, s: 6.7553163, p: 2.8105724, d: 3.7004173, eval: 1:-628 2:902 3:299]
Carnivore: [w: 1.9279612, s: 3.2519078, p: 4.3024874, d: 2.2076237, eval: 1:849 2:859 3:-894]
Carnivore: [w: 2.3167157, s: 4.3458786, p: 4.9614763, d: 4.641527, eval: 1:59 2:610 3:-675]
Carnivore: [w: 3.8978274, s: 5.595093, p: 7.7011194, d: 4.5751214, eval: 1:29 2:535 3:337]
Carnivore: [w: 4.2732906, s: 4.2275486, p: 0.67666173, d: 8.099059, eval: 1:92 2:359 3:-170]
Carnivore: [w: 1.5866519, s: 7.645886, p: 9.255796, d: 3.103423, eval: 1:537 2:123 3:514]
Carnivore: [w: 0.45192373, s: 4.341228, p: 5.2863383, d: 3.3536828, eval: 1:87 2:168 3:508]
Carnivore: [w: 4.7934175, s: 5.5552855, p: 1.6286385, d: 8.249651, eval: 1:223 2:693 3:-50]
Carnivore: [w: 9.602205, s: 2.1826756, p: 8.200172, d: 9.950104, eval: 1:188 2:-117 3:-40]
